AccountNumber,CustomerID,AccountType,AccountBalance,DateAccountOpening,LastTransactionDate,BranchID,DateAccountClosing,BankerID
100527,527,Current,"2,585.49",12/31/2022,1/30/2023,7,,1
100692,692,Savings,"7,319.35",12/30/2022,1/29/2023,13,,2
101435,1435,Savings,"2,309.40",12/30/2022,1/29/2023,80,,3
102161,2161,Current,"4,723.39",12/30/2022,1/29/2023,72,,4
101173,1173,Current,"2,150.14",12/28/2022,1/27/2023,14,,5
104392,4392,Current,"1,765.23",12/26/2022,1/25/2023,92,,6
103027,3027,Current,454.4,12/25/2022,1/24/2023,53,,7
101068,1068,Savings,"7,920.35",12/23/2022,1/22/2023,94,,8
102251,2251,Current,818.33,12/21/2022,1/20/2023,68,,
104841,4841,Savings,"1,254.46",12/19/2022,1/18/2023,73,,
102101,2101,Savings,"7,950.86",12/17/2022,1/16/2023,39,,
104127,4127,Current,"9,105.26",12/17/2022,1/16/2023,32,,
102954,2954,Savings,"5,737.41",12/16/2022,1/15/2023,22,,
100008,8,Savings,"1,458.45",12/14/2022,1/13/2023,25,,
103285,3285,Current,"7,045.29",12/13/2022,1/12/2023,71,,
102478,2478,Savings,"2,798.99",12/6/2022,1/5/2023,29,,
103452,3452,Savings,"8,865.56",12/5/2022,1/4/2023,78,,
102504,2504,Current,"1,034.43",12/3/2022,1/2/2023,34,,
101690,1690,Savings,"5,674.71",12/22/2022,12/31/2022,26,,
101057,1057,Current,"7,526.65",12/1/2022,12/31/2022,51,,
102899,2899,Savings,947.64,12/1/2022,12/31/2022,92,,
101425,1425,Current,"8,674.01",2/15/2019,12/31/2022,7,,
101495,1495,Current,"2,510.91",2/1/2012,12/31/2022,38,,
102420,2420,Savings,"5,001.51",3/10/2000,12/31/2022,96,,
100057,57,Current,"9,695.42",11/30/2022,12/30/2022,12,,
101525,1525,Savings,"4,908.26",3/11/2021,12/30/2022,21,,
102245,2245,Current,"7,918.29",12/31/2003,12/30/2022,8,,
100455,455,Savings,"2,523.73",10/6/2001,12/30/2022,74,,
103950,3950,Savings,"4,936.28",9/1/2017,12/28/2022,3,,
100370,370,Current,"6,060.91",5/25/2012,12/28/2022,66,,
102855,2855,Current,"6,977.94",8/21/2009,12/28/2022,69,,
104735,4735,Current,"8,447.13",9/16/2004,12/28/2022,36,,
104185,4185,Savings,"9,554.70",11/12/2000,12/28/2022,1,,
104960,4960,Current,"3,094.85",8/29/2019,12/27/2022,67,,
102200,2200,Savings,"4,568.81",10/21/2013,12/27/2022,99,,
101025,1025,Current,"6,232.25",12/8/2006,12/27/2022,35,,
103045,3045,Savings,"9,762.00",9/28/2012,12/26/2022,38,,
102350,2350,Savings,"4,339.07",12/3/2010,12/26/2022,62,,
104625,4625,Current,"5,685.94",12/23/2004,12/26/2022,25,,
103772,3772,Savings,"4,966.19",11/24/2022,12/24/2022,43,,
100290,290,Current,"6,970.61",5/23/2007,12/24/2022,13,,
102064,2064,Current,"4,136.09",11/23/2022,12/23/2022,98,12/8/2023,
103540,3540,Savings,440.47,9/16/2011,12/23/2022,47,12/9/2023,
102650,2650,Current,"9,812.74",11/28/2010,12/23/2022,32,12/10/2023,
104615,4615,Savings,"2,221.48",11/22/2022,12/22/2022,25,12/11/2023,
100980,980,Current,"9,190.29",6/14/2009,12/22/2022,38,12/12/2023,
102255,2255,Current,"9,872.39",11/11/2005,12/22/2022,14,12/13/2023,
104511,4511,Current,"2,547.16",11/21/2022,12/21/2022,95,12/14/2023,
103550,3550,Savings,"3,657.83",2/22/2018,12/21/2022,50,,
102385,2385,Savings,"4,419.36",7/18/2011,12/20/2022,55,,
102367,2367,Current,"6,169.14",11/18/2022,12/18/2022,5,,
100539,539,Savings,"6,909.73",11/17/2022,12/17/2022,29,,
101211,1211,Savings,"4,260.63",11/17/2022,12/17/2022,7,,
101860,1860,Savings,"9,834.46",7/27/2008,12/17/2022,26,,
102145,2145,Savings,"4,885.60",7/10/2001,12/17/2022,83,11/11/2023,
103638,3638,Savings,"9,836.86",11/16/2022,12/16/2022,55,11/12/2023,
101290,1290,Savings,"4,414.64",12/12/2006,12/16/2022,18,11/13/2023,
103299,3299,Current,"6,250.13",11/15/2022,12/15/2022,99,11/14/2023,
100385,385,Savings,"5,428.52",8/27/2018,12/15/2022,49,11/15/2023,
104370,4370,Current,"6,246.92",5/2/2017,12/15/2022,16,11/16/2023,
102215,2215,Savings,"9,375.25",3/19/2006,12/15/2022,61,11/17/2023,
101885,1885,Current,"2,869.90",11/14/2022,12/14/2022,58,11/18/2023,
102640,2640,Savings,"3,858.38",1/22/2012,12/14/2022,22,,
103935,3935,Savings,"6,468.23",10/16/2017,12/13/2022,83,,
103670,3670,Current,"9,472.17",4/6/2016,12/13/2022,12,,
101905,1905,Current,"4,999.70",3/7/2003,12/13/2022,3,,
104705,4705,Savings,"1,459.92",12/30/2000,12/13/2022,98,,
103290,3290,Current,"8,755.62",10/28/2020,12/12/2022,14,,
103975,3975,Savings,"2,110.77",12/15/2017,12/12/2022,17,,
100147,147,Savings,"9,302.37",11/11/2022,12/11/2022,34,,
101820,1820,Savings,"2,503.29",11/11/2022,12/11/2022,2,10/17/2023,
103069,3069,Savings,"3,473.40",11/11/2022,12/11/2022,23,10/18/2023,
101540,1540,Savings,"7,413.86",10/29/2007,12/11/2022,72,10/19/2023,
100630,630,Current,419.3,10/18/2007,12/11/2022,95,10/20/2023,
100860,860,Current,"7,497.17",11/30/2000,12/11/2022,58,10/21/2023,
104640,4640,Current,584.94,7/25/2008,12/10/2022,10,10/22/2023,
104400,4400,Current,"1,269.75",11/7/2005,12/10/2022,96,10/23/2023,
101480,1480,Savings,"1,130.49",11/10/2004,12/10/2022,26,10/24/2023,
102545,2545,Savings,"1,579.89",7/12/2000,12/10/2022,54,10/25/2023,
103385,3385,Savings,"6,445.51",1/15/2016,12/9/2022,64,10/26/2023,
100725,725,Savings,"5,001.61",10/30/2010,12/9/2022,63,10/27/2023,
101854,1854,Current,"2,306.73",11/8/2022,12/8/2022,83,10/28/2023,
103779,3779,Current,"2,069.75",11/8/2022,12/8/2022,27,10/29/2023,
102370,2370,Current,"5,916.41",10/6/2014,12/8/2022,9,10/30/2023,
100155,155,Savings,"9,626.52",5/13/2006,12/8/2022,46,,
104570,4570,Current,"4,864.41",2/17/2006,12/8/2022,91,,
102100,2100,Savings,"5,054.51",11/7/2022,12/7/2022,74,,
104031,4031,Current,"9,985.60",11/7/2022,12/7/2022,28,,
103240,3240,Savings,"8,618.75",1/22/2019,12/7/2022,22,,
102275,2275,Savings,"1,416.15",12/29/2018,12/7/2022,31,,
102775,2775,Savings,"5,420.03",1/24/2017,12/7/2022,65,,
103665,3665,Current,"5,063.20",8/11/2014,12/7/2022,12,,
102240,2240,Savings,"6,941.20",2/16/2012,12/7/2022,57,,
102500,2500,Savings,825.1,5/23/2006,12/7/2022,95,,
101840,1840,Savings,"3,406.99",7/1/2005,12/7/2022,85,,
103420,3420,Savings,"1,839.09",6/22/2001,12/7/2022,94,10/25/2023,
