CustomerID,AccountNumber,TransactionID,TransactionDate,TransactionType,TransactionAmount,BranchID,CardID,CardType,CreditLimit,PaymentDueDate,LastPaymentDate,ResolutionStatus,ResolutionDate
1,100001,1,12/7/2023,Withdrawal,1457.61,43,1,AMEX,1737.88,11/26/2023,3/20/2023,Resolved,1/22/2023
2,100002,2,4/27/2023,Deposit,1660.99,63,2,MasterCard,1799.36,11/5/2023,6/16/2023,Resolved,8/27/2023
3,100003,3,4/5/2023,Deposit,839.91,82,3,AMEX,6112.96,1/8/2023,3/20/2023,Pending,5/11/2023
4,100004,4,7/28/2023,Withdrawal,4908.89,41,4,MasterCard,2069.41,9/8/2023,10/15/2023,Resolved,7/5/2023
5,100005,5,1/16/2023,Transfer,589.07,9,5,Visa,2765.30,3/4/2023,7/27/2023,Resolved,11/21/2023
6,100006,6,4/21/2023,Withdrawal,4914.67,20,6,AMEX,8029.18,5/13/2023,11/16/2023,Resolved,7/23/2023
7,100007,7,11/22/2023,Deposit,3534.90,21,7,MasterCard,2996.82,3/16/2023,10/9/2023,Pending,7/31/2023
8,100008,8,8/10/2023,Deposit,454.87,25,8,AMEX,4470.78,7/23/2023,7/18/2023,Pending,12/19/2023
9,100009,9,9/28/2023,Withdrawal,768.56,66,9,AMEX,4349.57,11/28/2023,9/25/2023,Pending,7/12/2023
10,100010,10,12/29/2023,Deposit,1641.59,30,10,Visa,4961.44,11/15/2023,1/7/2023,Resolved,4/30/2023
11,100011,11,6/8/2023,Withdrawal,1309.13,72,11,Visa,4782.39,6/7/2023,3/3/2023,Pending,9/19/2023
12,100012,12,4/4/2023,Deposit,4865.91,25,12,AMEX,5697.31,11/17/2023,12/28/2023,Pending,5/3/2023
13,100013,13,12/2/2023,Deposit,3070.58,94,13,Visa,5776.68,7/17/2023,1/13/2023,Resolved,1/13/2023
14,100014,14,10/27/2023,Transfer,381.21,30,14,Visa,3018.46,5/28/2023,9/29/2023,Resolved,5/5/2023
