DepositId,CustomerID,AccountNumber,DateDepositOpening,AmountDeposit,ResolutionDate
1,4,100004,1/30/2008,4329.17,7/5/2023
2,5,100005,5/25/2021,25.72,11/21/2023
3,6,100006,12/21/2015,1331.70,7/23/2023
4,8,100008,12/14/2022,3450.21,12/19/2023
5,11,100011,8/12/2015,4564.25,9/19/2023
6,13,100013,11/13/2010,339.59,1/13/2023
7,14,100014,8/14/2014,4357.95,5/5/2023
8,15,100015,9/16/2015,1066.61,9/23/2023
9,16,100016,10/2/2016,770.74,5/23/2023
10,18,100018,8/12/2019,3165.21,6/3/2023
11,20,100020,4/24/2017,1076.46,10/4/2023
12,21,100021,10/29/2016,3559.98,9/7/2023
13,23,100023,9/2/2011,1424.94,10/4/2023
14,24,100024,10/7/2014,2256.35,12/10/2023
15,25,100025,6/4/2004,4563.01,3/1/2023
16,27,100027,7/27/2006,1084.56,8/20/2023
17,28,100028,8/10/2018,1530.42,2/23/2023
18,29,100029,11/12/2000,2591.92,6/10/2023
19,34,100034,8/23/2005,560.70,2/11/2023
20,39,100039,7/20/2008,3347.70,1/24/2023
21,40,100040,1/13/2020,56.38,1/14/2023
22,45,100045,5/3/2001,2906.73,7/6/2023
23,46,100046,6/2/2005,4383.34,8/31/2023
24,54,100054,5/28/2014,3601.42,2/6/2023
25,55,100055,1/24/2013,4981.24,10/10/2023
26,56,100056,5/17/2007,4130.99,10/4/2023
27,58,100058,2/16/2021,3693.78,12/4/2023
28,62,100062,6/25/2004,4285.04,8/31/2023
29,63,100063,12/15/2007,177.97,8/15/2023
30,65,100065,7/17/2009,527.51,12/3/2023
31,66,100066,2/11/2020,2128.26,2/21/2023
32,67,100067,10/4/2016,190.61,4/25/2023
33,68,100068,2/6/2022,4716.75,9/9/2023
34,71,100071,4/11/2020,2230.04,5/23/2023
35,72,100072,12/25/2002,1689.29,9/6/2023
36,73,100073,10/12/2018,2421.45,5/3/2023
37,75,100075,9/23/2016,3478.89,5/19/2023
38,77,100077,3/21/2019,2876.14,5/29/2023
39,78,100078,10/15/2013,2895.65,9/11/2023
40,83,100083,5/16/2008,4365.64,3/19/2023
41,87,100087,4/12/2013,2987.74,2/24/2023
42,89,100089,7/2/2021,1102.03,2/19/2023
43,90,100090,6/22/2022,1343.47,8/25/2023
44,92,100092,3/12/2022,405.51,5/11/2023
45,94,100094,7/4/2002,2373.34,7/27/2023
46,95,100095,8/18/2004,1916.85,4/26/2023
47,98,100098,12/21/2013,4986.37,6/23/2023
48,101,100101,5/5/2020,1376.50,12/17/2023
49,102,100102,10/9/2003,3412.51,5/7/2023
50,103,100103,6/30/2021,2022.65,7/9/2023
51,105,100105,3/9/2013,4997.11,6/5/2023
52,107,100107,12/3/2021,4576.73,2/11/2023
53,110,100110,4/12/2015,3857.36,11/4/2023
54,111,100111,3/26/2011,4507.25,12/14/2023
55,113,100113,1/22/2017,2357.23,12/8/2023
56,114,100114,9/11/2012,3490.18,4/14/2023
57,117,100117,1/3/2001,790.09,8/27/2023
58,118,100118,1/13/2014,120.35,9/15/2023
59,119,100119,1/26/2013,2222.57,9/6/2023
60,120,100120,8/30/2006,3278.29,6/28/2023
61,121,100121,1/30/2013,167.13,3/22/2023
62,123,100123,6/23/2001,2604.08,8/22/2023
63,125,100125,3/16/2003,706.91,9/19/2023
64,126,100126,7/31/2003,3392.53,7/25/2023
65,127,100127,6/6/2018,3272.27,6/21/2023
66,129,100129,3/10/2004,379.47,1/31/2023
67,132,100132,7/20/2007,1559.79,4/21/2023
68,133,100133,10/15/2012,3900.56,2/23/2023
69,134,100134,9/9/2013,2024.65,3/30/2023
70,135,100135,6/16/2005,3085.42,2/11/2023
71,138,100138,7/7/2020,775.69,4/1/2023
72,140,100140,1/21/2016,3669.04,6/12/2023
73,142,100142,3/2/2003,1881.02,12/16/2023
74,143,100143,5/2/2021,2371.43,2/25/2023
75,147,100147,11/11/2022,1382.53,6/4/2023
76,149,100149,5/17/2000,998.89,7/25/2023
77,150,100150,6/16/2001,2796.43,11/5/2023
78,151,100151,3/27/2009,1131.56,7/29/2023
79,152,100152,10/31/2018,2909.99,8/22/2023
80,154,100154,4/11/2018,869.04,8/2/2023
81,155,100155,5/13/2006,3057.75,11/20/2023
82,156,100156,7/4/2016,2922.09,1/20/2023
83,160,100160,10/11/2009,4087.66,3/13/2023
84,163,100163,12/27/2020,4736.61,9/28/2023
85,164,100164,11/7/2004,2888.99,8/8/2023
86,167,100167,10/25/2015,1906.93,11/24/2023
87,169,100169,11/27/2007,1702.76,8/1/2023
88,170,100170,8/29/2020,168.94,11/15/2023
89,171,100171,6/24/2018,1320.95,6/7/2023
90,172,100172,8/14/2021,181.43,10/7/2023
91,174,100174,8/30/2002,45.09,7/11/2023
92,175,100175,4/21/2016,3803.42,6/13/2023
93,179,100179,8/11/2012,1352.26,5/3/2023
94,180,100180,5/15/2006,2618.58,11/5/2023
95,181,100181,3/6/2019,4715.61,3/31/2023
96,184,100184,4/12/2019,1467.03,4/19/2023
97,185,100185,9/11/2013,3982.37,12/24/2023
98,186,100186,9/28/2015,512.42,10/10/2023
99,189,100189,6/6/2006,2186.18,11/9/2023
100,194,100194,10/21/2011,2601.65,5/17/2023
101,195,100195,10/13/2021,1338.98,11/28/2023
102,198,100198,9/13/2014,4949.28,10/7/2023
103,201,100201,9/21/2009,1970.59,12/7/2023
104,203,100203,11/8/2020,4631.24,6/16/2023
105,212,100212,8/21/2021,3311.69,2/16/2023
106,213,100213,1/23/2014,4957.89,5/26/2023
107,214,100214,5/27/2014,3095.85,6/18/2023
108,215,100215,9/26/2005,3052.17,10/4/2023
109,217,100217,5/19/2018,287.56,3/27/2023
110,218,100218,4/19/2006,3070.83,5/31/2023
111,224,100224,12/25/2008,4099.49,3/23/2023
112,228,100228,1/21/2002,4136.06,2/1/2023
113,231,100231,5/14/2005,214.18,8/9/2023
114,232,100232,9/24/2012,4964.63,12/25/2023
115,234,100234,1/2/2000,4575.83,3/27/2023
116,235,100235,1/19/2002,4262.70,1/31/2023
117,237,100237,10/19/2007,2311.76,6/2/2023
118,238,100238,11/10/2020,1072.37,5/20/2023
119,240,100240,9/9/2001,904.03,3/17/2023
120,241,100241,8/16/2014,1463.07,8/26/2023
121,244,100244,1/5/2008,3617.72,9/19/2023
122,245,100245,5/6/2014,1011.49,3/10/2023
123,246,100246,7/3/2015,3060.67,12/5/2023
124,247,100247,1/19/2016,240.42,8/27/2023
125,248,100248,10/13/2001,417.31,4/6/2023
126,250,100250,12/23/2021,296.43,1/11/2023
127,251,100251,4/13/2013,2286.04,4/18/2023
128,254,100254,12/26/2012,4403.33,4/1/2023
129,255,100255,4/4/2007,3732.00,6/5/2023
130,257,100257,11/18/2021,1751.44,12/30/2023
131,262,100262,6/25/2016,4239.71,12/15/2023
132,264,100264,12/19/2000,3189.80,3/28/2023
133,266,100266,12/20/2002,713.68,11/29/2023
134,267,100267,1/22/2003,472.18,5/30/2023
135,269,100269,1/27/2002,3869.91,11/22/2023
136,270,100270,5/30/2021,3101.83,2/1/2023
137,271,100271,11/23/2004,2211.73,7/27/2023
138,273,100273,11/12/2001,3340.55,8/15/2023
139,274,100274,9/3/2016,2696.95,12/21/2023
140,277,100277,6/4/2006,1349.12,12/17/2023
141,281,100281,4/6/2019,295.14,3/21/2023
142,285,100285,3/31/2018,1438.06,5/30/2023
143,287,100287,1/24/2003,3993.90,3/18/2023
144,289,100289,2/3/2004,3710.94,2/21/2023
145,292,100292,10/12/2010,2229.14,11/8/2023
146,293,100293,8/5/2017,1612.06,12/31/2023
147,297,100297,8/14/2008,968.80,2/23/2023
148,301,100301,1/10/2014,1850.26,6/28/2023
149,303,100303,3/2/2002,941.17,5/1/2023
150,304,100304,1/4/2013,3409.23,6/6/2023
151,306,100306,6/23/2004,1846.73,10/20/2023
152,307,100307,4/23/2012,3886.96,4/16/2023
153,311,100311,8/9/2016,3125.05,6/14/2023
154,312,100312,5/28/2005,2059.07,4/10/2023
155,313,100313,7/23/2017,1405.20,11/12/2023
156,315,100315,12/14/2014,4493.32,1/10/2023
157,318,100318,7/17/2017,946.97,3/26/2023
158,319,100319,6/10/2012,4694.62,11/6/2023
159,320,100320,3/30/2020,980.17,10/11/2023
160,322,100322,3/2/2014,4675.61,3/6/2023
161,324,100324,10/31/2011,4435.27,8/25/2023
162,326,100326,12/12/2014,3499.94,5/26/2023
163,327,100327,4/23/2014,2534.42,9/9/2023
164,329,100329,4/12/2018,2404.73,1/27/2023
165,330,100330,9/18/2021,342.16,5/31/2023
166,332,100332,9/25/2012,1607.23,5/22/2023
167,333,100333,8/4/2014,2344.87,11/29/2023
168,335,100335,10/11/2006,2421.50,9/25/2023
169,336,100336,8/2/2008,4650.09,11/17/2023
170,338,100338,5/30/2006,843.63,1/23/2023
171,339,100339,8/8/2000,4596.41,2/17/2023
172,341,100341,6/18/2006,4184.03,6/14/2023
173,342,100342,12/22/2015,4876.42,11/12/2023
174,343,100343,4/15/2015,359.88,9/13/2023
175,345,100345,9/8/2000,2131.26,6/2/2023
176,346,100346,9/21/2018,2275.69,10/27/2023
177,349,100349,10/6/2000,3160.63,4/19/2023
178,350,100350,1/7/2012,4959.12,2/2/2023
179,354,100354,12/28/2009,1159.11,1/14/2023
